fpr,tpr,threshold
0.0,0.0,inf
0.0,0.0003,0.99999976
0.0,0.0011,0.9999995
0.0,0.0014,0.9999994
0.0,0.0016,0.9999993
0.0,0.0023,0.99999917
0.0,0.0025,0.99999905
0.0,0.0031,0.9999989
0.0,0.0046,0.99999857
0.0,0.0054,0.99999833
0.0,0.0056,0.9999982
0.0,0.0068,0.999998
0.0,0.0071,0.99999785
0.0,0.0073,0.9999976
0.0,0.0083,0.9999975
0.0,0.0084,0.9999974
0.0,0.0093,0.99999726
0.0,0.0094,0.99999714
0.0,0.0097,0.999997
0.0,0.0101,0.9999968
0.0,0.0108,0.99999666
0.0,0.0113,0.99999654
0.0,0.0119,0.9999963
0.0,0.0125,0.9999962
0.0,0.0131,0.99999595
0.0,0.0133,0.9999958
0.0,0.0136,0.9999957
0.0,0.0141,0.9999956
0.0,0.0153,0.99999535
0.0,0.0157,0.99999523
0.0,0.0159,0.9999951
0.0,0.0165,0.9999949
0.0,0.0166,0.99999475
0.0,0.0172,0.9999944
0.0,0.0176,0.9999943
0.0,0.0177,0.99999416
0.0,0.018,0.99999404
0.0,0.0187,0.9999939
0.0,0.0191,0.9999938
0.0,0.0192,0.99999356
0.0,0.0197,0.99999344
0.0,0.02,0.9999933
0.0,0.0204,0.9999931
0.0,0.0207,0.99999297
0.0,0.0211,0.99999285
0.0,0.0216,0.9999927
0.0,0.0217,0.9999926
0.0,0.0219,0.9999925
0.0,0.0224,0.9999924
0.0,0.0236,0.9999919
0.0,0.0242,0.99999166
0.0,0.0246,0.99999154
0.0,0.0251,0.9999914
0.0,0.0255,0.9999913
0.0,0.0257,0.99999106
0.0,0.0259,0.99999094
0.0,0.0267,0.9999908
0.0,0.0271,0.9999907
0.0,0.0276,0.9999906
0.0,0.028,0.99999034
0.0,0.0283,0.9999902
0.0,0.0287,0.99999
0.0,0.0288,0.99998975
0.0,0.0292,0.9999896
0.0,0.0297,0.9999895
0.0,0.0299,0.9999894
0.0,0.0304,0.9999893
0.0,0.0307,0.99998915
0.0,0.0309,0.99998903
0.0,0.0315,0.9999888
0.0,0.0317,0.9999887
0.0,0.032,0.99998856
0.0,0.0328,0.99998844
0.0,0.033,0.9999883
0.0,0.0339,0.99998784
0.0,0.034,0.9999876
0.0,0.0344,0.9999875
0.0,0.0347,0.99998736
0.0,0.0349,0.9999871
0.0,0.0352,0.999987
0.0,0.036,0.9999869
0.0,0.0361,0.99998677
0.0,0.0365,0.99998665
0.0,0.0367,0.9999865
0.0,0.037,0.9999864
0.0,0.0372,0.9999863
0.0,0.0377,0.9999862
0.0,0.038,0.99998605
0.0,0.0381,0.9999858
0.0,0.0387,0.9999856
0.0,0.0392,0.99998546
0.0,0.0396,0.99998534
0.0,0.0402,0.9999852
0.0,0.041,0.999985
