fpr,tpr,threshold
0.0,0.0,inf
0.0,0.005,0.7851043939590454
0.0,0.02,0.7637032270431519
0.005,0.02,0.7560549378395081
0.005,0.165,0.6619137525558472
0.01,0.165,0.6540592312812805
0.01,0.27,0.607750415802002
0.015,0.27,0.6076979637145996
0.015,0.32,0.5901750922203064
0.02,0.32,0.5892686247825623
0.02,0.33,0.5883680582046509
0.025,0.33,0.587357759475708
0.025,0.34,0.5816068649291992
0.03,0.34,0.5810633897781372
0.03,0.37,0.573531448841095
0.035,0.37,0.5732288956642151
0.035,0.38,0.5727462768554688
0.04,0.38,0.5717257857322693
0.04,0.395,0.5706173777580261
0.05,0.395,0.5666148662567139
0.05,0.49,0.5463778376579285
0.055,0.49,0.5460706949234009
0.055,0.525,0.5409725904464722
0.06,0.525,0.538745641708374
0.06,0.56,0.5365750193595886
0.075,0.56,0.5357633233070374
0.075,0.595,0.5292826294898987
0.08,0.595,0.5284658670425415
0.08,0.6,0.5275635123252869
0.085,0.6,0.5275118350982666
0.085,0.645,0.5194717049598694
0.1,0.645,0.5148832201957703
0.1,0.66,0.5114459991455078
0.11,0.66,0.5086459517478943
0.11,0.69,0.5015794634819031
0.115,0.69,0.501319944858551
0.115,0.695,0.5009728670120239
0.125,0.695,0.49970313906669617
0.125,0.705,0.4971148371696472
0.13,0.705,0.4970756769180298
0.13,0.725,0.49258846044540405
0.135,0.725,0.49255767464637756
0.135,0.74,0.49192237854003906
0.14,0.74,0.490801602602005
0.14,0.755,0.48761630058288574
0.15,0.755,0.4864596426486969
0.15,0.765,0.48606303334236145
0.16,0.765,0.4852725565433502
0.16,0.78,0.4778392016887665
0.165,0.78,0.4772627651691437
0.165,0.795,0.47449758648872375
0.17,0.795,0.4741010069847107
0.17,0.81,0.472542405128479
0.175,0.81,0.4716185927391052
0.175,0.82,0.4671374559402466
0.185,0.82,0.4650577902793884
0.185,0.825,0.46498483419418335
0.19,0.825,0.46305909752845764
0.19,0.83,0.4628305733203888
0.205,0.83,0.4619547426700592
0.205,0.835,0.4615870416164398
0.22,0.835,0.4587710499763489
0.22,0.84,0.458079993724823
0.225,0.84,0.45650655031204224
0.225,0.845,0.45554104447364807
0.23,0.845,0.454668253660202
0.23,0.85,0.45449137687683105
0.235,0.85,0.4526953101158142
0.235,0.86,0.4508669972419739
0.245,0.86,0.45049038529396057
0.245,0.865,0.4498388171195984
0.255,0.865,0.4478871822357178
0.255,0.87,0.4467453062534332
0.265,0.87,0.44664400815963745
0.265,0.88,0.4458649754524231
0.27,0.88,0.4455529749393463
0.27,0.885,0.4451121389865875
0.285,0.885,0.43915727734565735
0.285,0.895,0.435549795627594
0.3,0.895,0.4327310025691986
0.3,0.9,0.4327031075954437
0.305,0.9,0.43241745233535767
0.305,0.905,0.4315200448036194
0.31,0.905,0.43066689372062683
0.31,0.91,0.429241418838501
0.325,0.91,0.4238796830177307
0.325,0.915,0.42243248224258423
0.33,0.915,0.4222608506679535
0.33,0.92,0.4201590120792389
0.34,0.92,0.41829153895378113
0.34,0.925,0.4161776602268219
0.345,0.925,0.41468939185142517
0.345,0.93,0.4143615663051605
0.36,0.93,0.412710964679718
0.36,0.935,0.4100722074508667
0.375,0.935,0.4082469344139099
0.375,0.94,0.4064802825450897
0.395,0.94,0.4043041169643402
0.395,0.945,0.40044716000556946
0.47,0.945,0.38398468494415283
0.47,0.955,0.38290852308273315
0.57,0.955,0.361400306224823
0.57,0.96,0.3611915409564972
0.575,0.96,0.3600228428840637
0.575,0.965,0.359718382358551
0.585,0.965,0.3572036921977997
0.585,0.975,0.3552633821964264
0.615,0.975,0.34659716486930847
0.615,0.98,0.3460715413093567
0.665,0.98,0.3369249105453491
0.665,0.985,0.3367142975330353
0.87,0.985,0.29448235034942627
0.87,0.99,0.2925387918949127
0.92,0.99,0.2820292115211487
0.92,1.0,0.27897340059280396
1.0,1.0,0.20442362129688263
