fpr,tpr,threshold
0.0,0.0,inf
0.0,0.005,0.7902942299842834
0.0,0.02,0.7652028203010559
0.005,0.02,0.7580550312995911
0.005,0.16,0.6634652614593506
0.01,0.16,0.6605112552642822
0.01,0.285,0.6118079423904419
0.015,0.285,0.6083102822303772
0.015,0.29,0.6072107553482056
0.02,0.29,0.6039023995399475
0.02,0.305,0.6013534069061279
0.025,0.305,0.5965244174003601
0.025,0.325,0.5923770070075989
0.03,0.325,0.5890690088272095
0.03,0.385,0.5743657946586609
0.035,0.385,0.5720794200897217
0.035,0.39,0.571454644203186
0.045,0.39,0.5700389742851257
0.045,0.44,0.5612386465072632
0.05,0.44,0.5611969232559204
0.05,0.495,0.5499445199966431
0.055,0.495,0.5483413338661194
0.055,0.515,0.5445005893707275
0.06,0.515,0.543333113193512
0.06,0.54,0.5416613817214966
0.065,0.54,0.5416036248207092
0.065,0.545,0.5409888029098511
0.075,0.545,0.5391122698783875
0.075,0.59,0.535629391670227
0.08,0.59,0.5353862047195435
0.08,0.615,0.529758632183075
0.085,0.615,0.528832733631134
0.085,0.63,0.5263174176216125
0.09,0.63,0.52586430311203
0.09,0.645,0.5243401527404785
0.1,0.645,0.5232439041137695
0.1,0.66,0.5151654481887817
0.105,0.66,0.5137834548950195
0.105,0.675,0.5096631646156311
0.115,0.675,0.5079922080039978
0.115,0.68,0.5079028606414795
0.12,0.68,0.5077609419822693
0.12,0.685,0.5056178569793701
0.125,0.685,0.5052927136421204
0.125,0.715,0.49905985593795776
0.13,0.715,0.49868014454841614
0.13,0.72,0.4985071122646332
0.135,0.72,0.4971778690814972
0.135,0.725,0.4963533878326416
0.14,0.725,0.4961579144001007
0.14,0.735,0.49391162395477295
0.145,0.735,0.4932999312877655
0.145,0.74,0.49327048659324646
0.155,0.74,0.49159711599349976
0.155,0.745,0.49100494384765625
0.16,0.745,0.4885481297969818
0.16,0.76,0.4858434498310089
0.165,0.76,0.48551011085510254
0.165,0.79,0.4797510504722595
0.175,0.79,0.47946253418922424
0.175,0.81,0.4761226177215576
0.185,0.81,0.4739949703216553
0.185,0.815,0.47396788001060486
0.19,0.815,0.4733027517795563
0.19,0.825,0.46974414587020874
0.205,0.825,0.46525439620018005
0.205,0.83,0.46498286724090576
0.215,0.83,0.46476563811302185
0.215,0.835,0.46405261754989624
0.235,0.835,0.4599496126174927
0.235,0.84,0.4580844044685364
0.245,0.84,0.45642679929733276
0.245,0.845,0.45619460940361023
0.25,0.845,0.4538775384426117
0.25,0.86,0.45274677872657776
0.255,0.86,0.45267465710639954
0.255,0.87,0.4512638449668884
0.265,0.87,0.4480801820755005
0.265,0.875,0.4461928904056549
0.275,0.875,0.44370245933532715
0.275,0.89,0.43961217999458313
0.3,0.89,0.4350348711013794
0.3,0.895,0.4342716336250305
0.305,0.895,0.4337875247001648
0.305,0.915,0.4320906698703766
0.335,0.915,0.42292168736457825
0.335,0.92,0.42142969369888306
0.345,0.92,0.4203096330165863
0.345,0.925,0.42012572288513184
0.36,0.925,0.4182218909263611
0.36,0.93,0.4160565137863159
0.38,0.93,0.4112343192100525
0.38,0.935,0.4092666804790497
0.41,0.935,0.40548476576805115
0.41,0.94,0.40488266944885254
0.42,0.94,0.40364381670951843
0.42,0.945,0.4031761884689331
0.465,0.945,0.3896809220314026
0.465,0.95,0.38870346546173096
0.495,0.95,0.38297614455223083
0.495,0.955,0.3827088177204132
0.545,0.955,0.3722071945667267
0.545,0.96,0.37140321731567383
0.565,0.96,0.3669402301311493
0.565,0.97,0.36387208104133606
0.595,0.97,0.35204437375068665
0.595,0.975,0.3517917990684509
0.645,0.975,0.347604364156723
0.645,0.98,0.3463889956474304
0.675,0.98,0.33968740701675415
0.675,0.985,0.339092880487442
0.84,0.985,0.3027125298976898
0.84,0.99,0.302298903465271
0.895,0.99,0.2909674644470215
0.895,0.995,0.29049184918403625
0.92,0.995,0.2798786759376526
0.92,1.0,0.27811819314956665
1.0,1.0,0.21006593108177185
