run_id,date,config_path,model,mode,seed,split_file,n_train_images,resolution,batch_size,optimizer,lr,weight_decay,max_epochs,best_epoch,early_stopped,stop_reason,train_time_min,total_params,trainable_params,hardware,torch_version,timm_version,val_acc,val_loss,test_acc,test_precision,test_recall,test_f1,test_auc,test_ap
resnet50_fe_20260820-0709,2026-08-20,configs/resnet50_fe_smoke.yaml,resnet50,fe,42,data/cifake_split_seed42.csv,400,224,32,sgd,0.01,0.0,2,2,False,max_epochs,2.19,23512130,4098,"CPU: Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2.13.0+cpu,1.0.28,0.732500,0.587998,0.787500,0.852761,0.695000,0.765840,0.884400,0.872564
resnet50_fe_20260820-0730,2026-08-20,configs/resnet50_fe_smoke.yaml,resnet50,fe,42,data/cifake_split_seed42.csv,400,224,32,sgd,0.01,0.0,2,2,False,max_epochs,2.79,23512130,4098,"CPU: Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2.13.0+cpu,1.0.28,0.717500,0.588206,0.792500,0.850299,0.710000,0.773842,0.882250,0.870397
resnet50_fe_20260822-0352,2026-08-22,configs/resnet50_fe_smoke.yaml,resnet50,fe,42,data/cifake_split_seed42.csv,400,224,32,sgd,0.01,0.0,2,2,False,max_epochs,0.22,23512130,4098,"Tesla T4, 15 GB",2.10.0+cu128,1.0.26,0.717500,0.588133,0.792500,0.850299,0.710000,0.773842,0.882425,0.870576
resnet50_fe_20260822-0402,2026-08-22,configs/resnet50_fe_smoke.yaml,resnet50,fe,42,data/cifake_split_seed42.csv,400,224,32,sgd,0.01,0.0,2,2,False,max_epochs,0.09,23512130,4098,"Tesla T4, 15 GB",2.10.0+cu128,1.0.26,0.717500,0.588133,0.792500,0.850299,0.710000,0.773842,0.882425,0.870576
resnet50_fe_20260822-0947,2026-08-22,configs/resnet50_fe_smoke.yaml,resnet50,fe,42,data/cifake_split_seed42.csv,400,224,32,sgd,0.01,0.0,2,1,False,time_budget,1.40,23512130,4098,"CPU: Intel64 Family 6 Model 140 Stepping 1, GenuineIntel",2.13.0+cpu,1.0.28,0.685000,0.643869,0.747500,0.789474,0.675000,0.727763,0.849250,0.838820
